userid,amount,code,section
ben.ng.2009,11,IS100,S1
calvin.ng.2009,12,IS100,S1
dawn.ng.2009,13,IS100,S1
eddy.ng.2009,14,IS100,S1
fred.ng.2009,15,IS100,S1
gary.ng.2009,16,IS100,S1
harry.ng.2009,17,IS100,S1
ian.ng.2009,18,IS100,S1
larry.ng.2009,19,IS100,S1
maggie.ng.2009,20,IS100,S1
neilson.ng.2009,21,IS100,S1
olivia.ng.2009,22,IS100,S1
parker.ng.2009,24,IS100,S1
quiten.ng.2009,24,IS100,S1
ricky.ng.2009,24,IS100,S1
steven.ng.2009,26,IS100,S1
timothy.ng.2009,27,IS100,S1
ursala.ng.2009,28,IS100,S1
valarie.ng.2009,29,IS100,S1
winston.ng.2009,30,IS100,S1
xavier.ng.2009,31,IS100,S1
yasir.ng.2009,32,IS100,S1
zac.ng.2009,33,IS100,S1
carl.icahn.2015,90,ECON001,S1
zac.ng.2009,-11,IS430,S1
neilson.ng.2009,9.99,IS431,S1
larry.ng.2009,10.333,IS432,S1
olivia.ng.2009,10.99,IS439,S1
calvin.ng.2009,21,MGMT111,S2
amy.ng.2009,15,MGMT111,S1
ben.ng.2009,20,IS106,S1
calvin.ng.2009,12,IS434,S1
amy.ng.2009,15,IS103,S1
amy.ng.2009,17,IS100,S1
amy.ng.2009,18,IS431,S1
amy.ng.2009,19,IS432,S1
amy.ng.2009,11,IS433,S1
amy.ng.2009,20,IS106,S1
